"Wavelength, µm","n"
0.640825,1.421059
0.643639,1.421017
0.646464,1.420975
0.649302,1.420935
0.652152,1.420894
0.655015,1.420854
0.657891,1.420814
0.660779,1.420775
0.66368,1.420736
0.666593,1.420697
0.669519,1.420658
0.672458,1.42062
0.67541,1.420583
0.678375,1.420545
0.681353,1.420508
0.684345,1.420471
0.687349,1.420435
0.690366,1.420398
0.693397,1.420363
0.696441,1.420328
0.699498,1.420293
0.702569,1.420258
0.705653,1.420223
0.708751,1.420189
0.711862,1.420155
0.714987,1.420121
0.718126,1.420088
0.721278,1.420055
0.724445,1.420023
0.727625,1.41999
0.730819,1.419958
0.734027,1.419926
0.73725,1.419895
0.740486,1.419863
0.743737,1.419832
0.747002,1.419802
0.750281,1.419772
0.753575,1.419742
0.756883,1.419712
0.760205,1.419682
0.763543,1.419653
0.766895,1.419623
0.770261,1.419594
0.773642,1.419566
0.777039,1.419538
0.78045,1.41951
0.783876,1.419482
0.787317,1.419454
0.790773,1.419427
0.794245,1.4194
0.797731,1.419373
0.801233,1.419347
0.804751,1.41932
0.808283,1.419294
0.811832,1.419268
0.815396,1.419243
0.818975,1.419217
0.82257,1.419192
0.826181,1.419167
0.829808,1.419142
0.833451,1.419118
0.83711,1.419094
0.840785,1.41907
0.844476,1.419046
0.848183,1.419022
0.851906,1.418998
0.855646,1.418975
0.859402,1.418952
0.863175,1.418929
0.866964,1.418907
0.87077,1.418884
0.874593,1.418862
0.878432,1.41884
0.882288,1.418818
0.886161,1.418796
0.890052,1.418775
0.893959,1.418753
0.897883,1.418732
0.901825,1.418712
0.905784,1.418691
0.90976,1.418671
0.913754,1.41865
0.917765,1.41863
0.921794,1.41861
0.925841,1.41859
0.929905,1.41857
0.933987,1.418551
0.938087,1.418532
0.942205,1.418513
0.946342,1.418494
0.950496,1.418475
0.954669,1.418457
0.958859,1.418438
0.963069,1.41842
0.967296,1.418401
0.971543,1.418383
0.975808,1.418366
0.980092,1.418348
0.984394,1.418331
0.988715,1.418314
0.993056,1.418296
0.997415,1.418279
1.00179,1.418262
1.00619,1.418246
1.01061,1.418229
1.01505,1.418212
1.0195,1.418196
1.02398,1.41818
1.02847,1.418164
1.03299,1.418149
1.03752,1.418133
1.04208,1.418117
1.04665,1.418102
1.05125,1.418086
1.05586,1.418071
1.0605,1.418056
1.06515,1.418041
1.06983,1.418027
1.07452,1.418012
1.07924,1.417998
1.08398,1.417983
1.08874,1.417969
1.09352,1.417955
1.09832,1.417941
1.10314,1.417927
1.10798,1.417913
1.11284,1.417899
1.11773,1.417886
1.12264,1.417872
1.12756,1.417859
1.13251,1.417846
1.13749,1.417833
1.14248,1.41782
1.1475,1.417807
1.15253,1.417795
1.15759,1.417782
1.16267,1.417769
1.16778,1.417757
1.1729,1.417745
1.17805,1.417733
1.18322,1.417721
1.18842,1.417709
1.19364,1.417697
1.19888,1.417685
1.20414,1.417674
1.20942,1.417662
1.21473,1.41765
1.22007,1.417639
1.22542,1.417628
1.2308,1.417617
1.23621,1.417606
1.24163,1.417595
1.24708,1.417584
1.25256,1.417574
1.25806,1.417563
1.26358,1.417552
1.26913,1.417542
1.2747,1.417531
1.28029,1.417521
1.28591,1.417511
1.29156,1.4175
1.29723,1.41749
1.30292,1.417481
1.30864,1.417471
1.31439,1.417461
1.32016,1.417452
1.32595,1.417442
1.33177,1.417433
1.33762,1.417423
1.34349,1.417414
1.34939,1.417405
1.35531,1.417395
1.36126,1.417386
1.36724,1.417377
1.37324,1.417368
1.37927,1.41736
1.38532,1.417351
1.39141,1.417342
1.39751,1.417334
1.40365,1.417325
1.40981,1.417317
1.416,1.417308
1.42222,1.4173
1.42846,1.417292
1.43473,1.417283
1.44103,1.417275
1.44735,1.417267
1.45371,1.417259
1.46009,1.417251
1.4665,1.417244
1.47294,1.417236
1.4794,1.417228
1.4859,1.417221
1.49242,1.417213
1.49897,1.417206
1.50555,1.417198
1.51216,1.417191
1.5188,1.417184
1.52547,1.417176
1.53216,1.417169
1.53889,1.417162
1.54565,1.417155
1.55243,1.417148
1.55925,1.417141
1.56609,1.417134
1.57297,1.417128
1.57987,1.417121
1.58681,1.417114
1.59377,1.417108
1.60077,1.417101
1.6078,1.417095
1.61485,1.417088
1.62194,1.417081
1.62906,1.417075
1.63621,1.417069
1.6434,1.417063
1.65061,1.417057
1.65786,1.417051
1.66514,1.417045
1.67245,1.417039
1.67979,1.417033
1.68716,1.417027
1.69457,1.417021
1.70201,1.417015
1.70948,1.417009
1.71698,1.417004
1.72452,1.416998
1.73209,1.416992
1.73969,1.416987
1.74733,1.416981
1.755,1.416975
1.76271,1.41697
1.77045,1.416965
